Name	SMILES	ClusterNumber
56954222	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4CC(C)C)c3)c2cc1OC	1
58267861	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4CC(C)C)c3)c2cc1OC	1
56954221	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C(C)C)c3)c2cc1OC	1
58267751	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4C(C)C)c3)c2cc1OC	1
58267776	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccncc4)c3)c2cc1OC	1
58267966	COc1cc2ncnc(Sc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccncc4)c3)c2cc1OC	1
58267947	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)nn4-c4cccc(C)c4)c3)c2cc1OC	1
58267745	COc1ccc(-n2nc(C(C)C)cc2NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc1	1
58267852	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CC5)nn4-c4ccccc4)c3)c2cc1OC	1
44243083	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C5CCC5)nn4-c4ccccc4)c3)c2cc1OC	1
44243085	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4Cc4ccccc4)c3)c2cc1OC	1
44243185	COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cc1	1
58267935	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccc(Cl)c4)c3)c2cc1OC	1
58267936	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(C(C)(C)C)cc4)c3)c2cc1OC	1
58267742	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4F)c3)c2cc1OC	1
58267731	CCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)nn4-c4ccccc4)c3)c2cc1OC	1
58267919	CCOc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3)c2cc1OC	1
58267810	CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c3)ncnc2cc1OC	1
121479963	CCOc1cc2c(Oc3cccc(NC(=O)Nc4cc(C(F)F)nn4-c4ccccc4)c3)ncnc2cc1OC	1
58267719	COc1cc2ncnc(Oc3cc(NC(=O)Nc4cc(C(F)(F)F)nn4-c4ccccc4)ccc3F)c2cc1OC	1
58267871	COc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc(Oc3ncnc4cc(OC)c(OC)cc34)c2)cn1	1
56658305	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OCCCN1CCOCC1	1
56675821	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccc(Cl)cc4)c3)c2cc1OC	1
56679129	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c3)c2cc1OC	1
56662196	COc1cc2ncnc(Oc3ccc(F)c(NC(=O)Nc4cc(C(C)(C)C)on4)c3)c2cc1OC	1
49840317	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4ccccc4)c3)c2cc1OC	1
56668951	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C)on4)c3C)c2cc1OC	1
56665248	COc1cc2ncnc(Oc3cc(NC(=O)Nc4cc(C(C)(C)C)on4)c(F)cc3F)c2cc1OC	1
138805804	COc1nc2ccc([C@@](O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1CN1CCC(C(F)(F)F)CC1	2
118031352	Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(CN3CCOCC3)c(Cl)c2c1	2
118022028	COc1nc2ccc(C(O)(c3ccnc(C(F)(F)F)c3)c3cncn3C)cc2c(Cl)c1CN1CCC(O)(C(F)(F)F)CC1	2
118022461	COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1C	2
118031199	Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(N3CCC3)c(OCc3ccccc3)c(Cl)c2c1	2
118022658	COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1CCC1CCN(C(C)=O)CC1	2
