SMILES,Name,ClusterNumber
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3cccc(CO)c3)cc2)CC[C@@H]1N1CCCCCC1,44374518,7
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3CCO)cc2)CC[C@@H]1N1CCCCCC1,44374461,7
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3O)cc2)CC[C@@H]1N1CCCCCC1,44374693,7
O=C(O)CC/C=C\CO[C@H]1C(OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCCC1,44374699,7
CNS(=O)(=O)Cc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,44374723,7
NC(=O)Cc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,44374482,7
NC(=O)Nc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,44374550,7
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3ccccc3)cc2)CC[C@@H]1N1CCCCCC1,44374561,7
CC(=O)NCc1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,44374600,7
NC(=O)c1ccccc1-c1ccc(COC2CC[C@H](N3CCCCCC3)[C@H]2OC/C=C\CCC(=O)O)cc1,44374564,7
O=C(O)CC/C=C\CO[C@H]1[C@@H](OCc2ccc(-c3cccc(CO)c3)cc2)CC[C@@H]1N1CCCCCC1,44374516,7
O=C(O)CC/C=C\CO[C@@H]1[C@@H](N2CCCCCC2)CC[C@H]1OCc1ccc(-c2cccnc2CO)cc1,15024093,7
O=C(O)CC/C=C\CO[C@@H]1[C@@H](N2CCCCCC2)CC[C@H]1OCc1ccc(-c2ccncc2CO)cc1,15024096,7
O=C(O)CC/C=C\CO[C@@H]1[C@@H](N2CCCCCC2)CC[C@H]1OCc1ccc(-c2cnccc2CO)cc1,15024091,7
Cc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5ccccc5F)C4)cc23)ccn1,91970718,8
O=C(N[C@@H]1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccnc(Cl)c3)c2c1,91970658,8
O=C(N[C@H]1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1,91970666,8
O=C(N[C@@H]1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1,91970668,8
O=C(NC1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1,77890077,8
COc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5ccccc5F)C4)cc23)ccn1,91970715,8
O=C(N[C@@H]1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccnc(C4CC4)c3)c2c1,91970716,8
CCc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5ccccc5F)C4)cc23)ccn1,91970717,8
O=C(N[C@@H]1CCCN(Cc2ccccc2F)C1)c1ccc2[nH]nc(-c3ccnc(C(F)(F)F)c3)c2c1,91970719,8
Cc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5ccccc5O)C4)cc23)ccn1,91970722,8
